ano,mes,estado,desvio_padrao
2023,1,AC,7.06
2023,1,AL,6.50
2023,1,AM,6.84
2023,1,AP,6.60
2023,1,BA,11.84
2023,1,CE,6.10
2023,1,DF,5.32
2023,1,ES,7.12
2023,1,GO,9.57
2023,1,MA,8.08
2023,1,MG,9.67
2023,1,MS,9.20
2023,1,MT,12.21
2023,1,PA,12.47
2023,1,PB,6.27
2023,1,PE,8.49
2023,1,PI,6.92
2023,1,PR,9.47
2023,1,RJ,8.86
2023,1,RN,8.26
2023,1,RO,9.20
2023,1,RR,6.10
2023,1,RS,8.28
2023,1,SC,7.57
2023,1,SE,5.49
2023,1,SP,8.75
2023,1,TO,3.53
2023,2,AC,7.73
2023,2,AL,5.77
2023,2,AM,6.83
2023,2,AP,6.42
2023,2,BA,11.06
2023,2,CE,6.55
2023,2,DF,4.71
2023,2,ES,7.97
2023,2,GO,8.78
2023,2,MA,8.99
2023,2,MG,10.39
2023,2,MS,9.20
2023,2,MT,12.02
2023,2,PA,11.69
2023,2,PB,6.99
2023,2,PE,8.39
2023,2,PI,6.10
2023,2,PR,9.73
2023,2,RJ,9.10
2023,2,RN,7.64
2023,2,RO,9.75
2023,2,RR,5.91
2023,2,RS,8.51
2023,2,SC,8.89
2023,2,SE,5.49
2023,2,SP,8.81
2023,2,TO,5.62
2023,3,AC,7.25
2023,3,AL,6.09
2023,3,AM,7.19
2023,3,AP,6.91
2023,3,BA,11.48
2023,3,CE,6.31
2023,3,DF,5.24
2023,3,ES,7.17
2023,3,GO,8.76
2023,3,MA,9.35
2023,3,MG,10.32
2023,3,MS,9.06
2023,3,MT,13.59
2023,3,PA,10.75
2023,3,PB,6.83
2023,3,PE,8.37
2023,3,PI,7.24
2023,3,PR,9.91
2023,3,RJ,10.26
2023,3,RN,8.57
2023,3,RO,9.70
2023,3,RR,6.25
2023,3,RS,9.30
2023,3,SC,8.89
2023,3,SE,6.22
2023,3,SP,9.09
2023,3,TO,3.49
2023,4,AC,7.12
2023,4,AL,6.31
2023,4,AM,7.01
2023,4,AP,6.95
2023,4,BA,11.94
2023,4,CE,5.95
2023,4,DF,5.10
2023,4,ES,6.75
2023,4,GO,8.59
2023,4,MA,9.39
2023,4,MG,10.53
2023,4,MS,9.50
