ano,mes,bandeira,freq_absoluta,preco_medio,desvio_padrao
2023,1,COPA ENERGIA,655,110.68,13.33
2023,1,FOGAS,747,122.65,9.74
2023,1,NACIONAL GÁS BUTANO,2055,108.29,10.36
2023,1,SUPERGASBRAS ENERGIA,2317,108.12,11.08
2023,1,BAHIANA,830,107.63,9.60
2023,1,ULTRAGAZ,2371,110.02,10.67
2023,1,LIQUIGÁS,2471,109.68,9.73
2023,1,BRANCA,4120,106.85,10.92
2023,2,FOGAS,733,123.62,10.35
2023,2,BRANCA,3792,106.50,11.13
2023,2,ULTRAGAZ,2219,109.45,10.69
2023,2,BAHIANA,745,107.86,10.43
2023,2,NACIONAL GÁS BUTANO,1912,107.69,10.43
2023,2,LIQUIGÁS,2252,109.35,10.26
2023,2,COPA ENERGIA,655,109.76,13.43
2023,2,SUPERGASBRAS ENERGIA,2160,107.71,11.39
2023,3,SUPERGASBRAS ENERGIA,2444,107.55,11.57
2023,3,BRANCA,4353,105.76,11.20
2023,3,COPA ENERGIA,705,110.18,13.80
2023,3,FOGAS,792,123.28,10.82
2023,3,BAHIANA,827,108.27,10.59
2023,3,LIQUIGÁS,2502,108.66,10.23
2023,3,NACIONAL GÁS BUTANO,1987,106.85,10.24
2023,3,ULTRAGAZ,2472,108.69,10.65
2023,4,SUPERGASBRAS ENERGIA,2263,107.75,12.09
2023,4,FOGAS,746,123.15,11.06
2023,4,ULTRAGAZ,2191,108.54,10.69
2023,4,BAHIANA,762,108.23,11.23
2023,4,COPA ENERGIA,610,110.14,14.30
2023,4,LIQUIGÁS,2320,109.05,10.37
2023,4,BRANCA,3915,105.94,11.63
2023,4,NACIONAL GÁS BUTANO,1884,106.99,10.38
2023,5,NACIONAL GÁS BUTANO,2655,107.04,10.81
2023,5,ULTRAGAZ,2918,108.68,10.95
2023,5,FOGAS,969,122.98,11.41
2023,5,COPA ENERGIA,780,109.90,13.78
2023,5,BAHIANA,1093,107.89,12.05
2023,5,BRANCA,5039,106.20,11.58
2023,5,SUPERGASBRAS ENERGIA,3013,108.04,11.56
2023,5,LIQUIGÁS,3127,109.05,10.56
