ano,mes,estado,preco_medio
2023,1,AC,120.32
2023,1,AL,105.11
2023,1,AM,122.18
2023,1,AP,118.31
2023,1,BA,110.61
2023,1,CE,111.27
2023,1,DF,102.39
2023,1,ES,104.32
2023,1,GO,111.37
2023,1,MA,106.12
2023,1,MG,109.92
2023,1,MS,113.11
2023,1,MT,123.76
2023,1,PA,114.20
2023,1,PB,110.46
2023,1,PE,101.57
2023,1,PI,111.96
2023,1,PR,106.58
2023,1,RJ,95.92
2023,1,RN,111.58
2023,1,RO,124.32
2023,1,RR,128.04
2023,1,RS,105.88
2023,1,SC,122.72
2023,1,SE,103.27
2023,1,SP,106.36
2023,1,TO,121.89
2023,2,AC,120.78
2023,2,AL,102.77
2023,2,AM,124.93
2023,2,AP,117.33
2023,2,BA,110.96
2023,2,CE,110.91
2023,2,DF,102.05
2023,2,ES,102.04
2023,2,GO,110.57
2023,2,MA,105.77
2023,2,MG,110.07
2023,2,MS,112.00
2023,2,MT,122.66
2023,2,PA,113.67
2023,2,PB,110.86
2023,2,PE,99.65
2023,2,PI,109.64
2023,2,PR,107.03
2023,2,RJ,95.77
2023,2,RN,111.64
2023,2,RO,125.05
2023,2,RR,129.36
2023,2,RS,105.44
2023,2,SC,123.98
2023,2,SE,101.63
2023,2,SP,105.69
2023,2,TO,121.49
2023,3,AC,121.02
2023,3,AL,102.19
2023,3,AM,124.68
2023,3,AP,116.24
2023,3,BA,111.11
2023,3,CE,110.01
2023,3,DF,101.73
2023,3,ES,101.96
2023,3,GO,109.78
2023,3,MA,105.97
2023,3,MG,109.12
2023,3,MS,111.66
2023,3,MT,123.29
2023,3,PA,112.70
2023,3,PB,109.88
2023,3,PE,99.58
2023,3,PI,109.71
2023,3,PR,106.32
2023,3,RJ,96.62
2023,3,RN,111.72
2023,3,RO,125.12
2023,3,RR,129.32
2023,3,RS,106.24
2023,3,SC,122.34
2023,3,SE,100.93
2023,3,SP,104.68
2023,3,TO,122.15
2023,4,AC,120.49
2023,4,AL,101.73
2023,4,AM,124.43
2023,4,AP,116.35
2023,4,BA,111.27
2023,4,CE,109.69
2023,4,DF,101.32
2023,4,ES,101.90
2023,4,GO,109.77
2023,4,MA,107.02
2023,4,MG,110.18
2023,4,MS,114.17
2023,4,MT,123.95
2023,4,PA,113.25
2023,4,PB,109.58
2023,4,PE,99.26
2023,4,PI,110.03
2023,4,PR,106.76
2023,4,RJ,96.45
2023,4,RN,111.62
2023,4,RO,124.37
2023,4,RR,129.67
2023,4,RS,106.89
2023,4,SC,122.23
2023,4,SE,101.02
2023,4,SP,104.29
2023,4,TO,121.91
2023,5,AC,119.16
2023,5,AL,99.33
2023,5,AM,124.70
2023,5,AP,117.47
2023,5,BA,112.61
2023,5,CE,107.07
2023,5,DF,101.00
2023,5,ES,101.57
2023,5,GO,109.54
2023,5,MA,106.25
2023,5,MG,108.25
2023,5,MS,115.62
2023,5,MT,121.95
2023,5,PA,112.81
2023,5,PB,107.95
2023,5,PE,98.59
2023,5,PI,109.34
2023,5,PR,104.96
2023,5,RJ,98.45
2023,5,RN,109.23
2023,5,RO,125.32
2023,5,RR,129.86
2023,5,RS,108.60
2023,5,SC,120.42
2023,5,SE,105.98
2023,5,SP,104.88
2023,5,TO,121.93
2023,6,AC,115.22
2023,6,AL,96.35
2023,6,AM,121.44
2023,6,AP,116.25
2023,6,BA,109.66
2023,6,CE,102.16
2023,6,DF,96.04
2023,6,ES,96.64
2023,6,GO,105.80
2023,6,MA,103.61
2023,6,MG,103.51
2023,6,MS,111.03
2023,6,MT,120.11
2023,6,PA,109.84
2023,6,PB,104.05
2023,6,PE,92.79
2023,6,PI,104.07
2023,6,PR,101.45
2023,6,RJ,94.49
2023,6,RN,105.45
2023,6,RO,121.76
2023,6,RR,126.47
2023,6,RS,106.08
2023,6,SC,115.96
2023,6,SE,101.41
2023,6,SP,101.30
2023,6,TO,118.04
2023,7,AC,114.29
2023,7,AL,94.12
2023,7,AM,120.24
2023,7,AP,113.34
2023,7,BA,106.01
2023,7,CE,100.30
2023,7,DF,94.25
2023,7,ES,95.40
2023,7,GO,102.98
2023,7,MA,103.70
2023,7,MG,101.48
2023,7,MS,109.75
2023,7,MT,117.67
2023,7,PA,109.09
2023,7,PB,102.64
2023,7,PE,91.25
2023,7,PI,101.34
2023,7,PR,100.05
2023,7,RJ,93.56
2023,7,RN,105.35
2023,7,RO,120.02
2023,7,RR,126.37
2023,7,RS,105.03
2023,7,SC,114.52
2023,7,SE,100.97
2023,7,SP,100.72
2023,7,TO,117.15
2023,8,AC,113.80
2023,8,AL,93.45
2023,8,AM,118.13
2023,8,AP,110.99
2023,8,BA,103.71
2023,8,CE,99.76
2023,8,DF,92.07
2023,8,ES,95.39
2023,8,GO,101.61
2023,8,MA,102.36
2023,8,MG,101.47
2023,8,MS,109.78
2023,8,MT,118.06
2023,8,PA,107.84
2023,8,PB,103.12
2023,8,PE,89.28
2023,8,PI,99.63
2023,8,PR,99.29
2023,8,RJ,92.98
2023,8,RN,105.78
2023,8,RO,116.85
2023,8,RR,125.50
2023,8,RS,104.51
2023,8,SC,113.39
2023,8,SE,98.96
2023,8,SP,99.86
2023,8,TO,117.39
2023,9,AC,112.94
2023,9,AL,93.52
