ano,mes,media_nacional,var_perc_mes_a_mes
2023,1,109.10,
2023,2,108.81,-0.003
2023,3,108.22,-0.005
2023,4,108.33,0.001
2023,5,108.43,0.001
2023,6,104.48,-0.038
2023,7,103.18,-0.013
2023,8,102.31,-0.009
2023,9,102.32,0.000
2023,10,102.91,0.006
2023,11,102.34,-0.006
2023,12,102.02,-0.003
2024,1,101.97,0.000
2024,2,102.97,0.010
2024,3,103.10,0.001
2024,4,102.84,-0.003
2024,5,102.55,-0.003
2024,6,102.48,-0.001
2024,7,103.90,0.014
2024,8,104.68,0.007
2024,9,107.41,0.025
2024,10,108.20,0.007
2024,11,108.28,0.001
2024,12,108.93,0.006
2025,1,107.68,-0.012
2025,2,107.83,0.001
2025,3,108.38,0.005
2025,4,108.65,0.002
2025,5,109.62,0.009
2025,6,109.56,-0.001
2025,7,109.98,0.004
2025,8,109.94,0.000
2025,9,110.53,0.005
2025,10,111.75,0.011
2025,11,111.67,-0.001
2025,12,111.28,-0.004
